Store Num,Address,City,State,ZIP,Lat,Lon,"County ",Region,Type
126,14200 E Ellsworth Ave,Aurora,CO,80012,39.7164428746951,-104.822288162203,Arapahoe County,South,FS
291,16910 E Quincy Ave,Aurora,CO,80015,39.6382728674084,-104.791136206897,Arapahoe County,South,FS
1062,15700 E Briarwood Cir,Aurora,CO,80016,39.5937396514854,-104.803614728711,Arapahoe County,South,FS
1150,1400 S Havana St,Aurora,CO,80012,39.6918874609429,-104.865721818236,Arapahoe County,South,FS
5093,6767 S Clinton St,Englewood,CO,80112,39.5934130326145,-104.880795835819,Arapahoe County,South,FS
5697,4301 E Virginia Ave,Glendale,CO,80246,39.7075177905203,-104.937415958273,Arapahoe County,South,FS
9512,3650 Riverpoint Pkwy,Sheridan,CO,80110,39.6509989218304,-105.009629985681,Arapahoe County,South,FS
4576,7930 Northfield Blvd,Denver,CO,80238,39.7853528674084,-104.895013870968,Denver County,South,FS
868,7400 S Gartrell Rd,Aurora,CO,80016,39.5655696975565,-104.718046126205,Douglas County,South,FS
2759,5010 Founders Pkwy,Castle Rock,CO,80108,39.4081162882051,-104.858935933184,Douglas County,South,FS
6425,1950 E County Line Rd,Highlands Ranch,CO,80126,39.5659497521844,-104.963419627962,Douglas County,South,FS
6485,1265 Sgt Jon Stiles Dr,Highlands Ranch,CO,80129,39.547923345389,-105.004378379427,Douglas County,South,FS
7819,10001 Commons St,Lone Tree,CO,80124,39.5360029559179,-104.882161280587,Douglas County,South,FS
8718,11150 S Twenty Mile Rd,Parker,CO,80134,39.512461936532,-104.773681099946,Douglas County,South,FS
2942,335 N Academy Blvd,Colorado Springs,CO,80909,38.8379190933287,-104.757131265074,El Paso County,South,FS
3229,3810 Bloomington St,Colorado Springs,CO,80922,38.8866844533612,-104.717253631385,El Paso County,South,FS
3417,9670 Prominent Pt,Colorado Springs,CO,80924,38.96693,-104.72146,El Paso County,South,FS
3994,5240 N Academy Blvd,Colorado Springs,CO,80918,38.905782017995,-104.779301921937,El Paso County,South,FS
4151,1630 E Cheyenne Mountain Blvd,Colorado Springs,CO,80906,38.7934684106202,-104.800192265511,El Paso County,South,FS
9054,3300 Dillon Dr,Pueblo,CO,81008,38.2957684868545,-104.605575269211,Pueblo County,South,FS
23063,1875 S Pueblo Blvd,Pueblo,CO,81005,38.2358328056289,-104.662559952037,Pueblo County,South,Mall
26732,1017 N Market Plz,Pueblo West,CO,81007,38.3255213998272,-104.699818044036,Pueblo County,South,Mall
21425,1565 W US Highway 50 # B-2,Pueblo,CO,81008,38.46206,-104.60153,Pueblo County,South,Mall
23172,6925 Mesa Ridge Pkwy,Fountain,CO,80817,38.7182778108613,-104.698740949372,El Paso County,South,Mall
