Store Num,Address,City,State,ZIP,Lat,Lon,"County ",Region,Type
5869,110 W Meadows Dr,Glenwood Springs,CO,81601,39.60545,-107.29783,Garfield County,West,FS
6030,2424 Highway 6 and 50,Grand Junction,CO,81505,39.0894700953993,-108.603844128782,Mesa County,West,FS
8572,3530 Wolverine Dr,Montrose,CO,81401,38.4445031764824,-107.868762521368,Montrose County,West,FS
9624,PO Box 26870,Silverthorne,CO,80497,39.63391,-106.07817,Summit County,West,FS
21851,2620 Woodgate Rd,Montrose,CO,81401,38.4583389712805,-107.865494177236,Montrose County,West,Mall
20674,2512 Broadway,Grand Junction,CO,81507,39.0648307672622,-108.596266814594,Mesa County,West,Mall
20016,1830 N 12th St,Grand Junction,CO,81501,39.0839946464646,-108.55216333341,Mesa County,West,Mall
29840,2901 F Rd,Grand Junction,CO,81504,39.0916128674084,-108.51469,Mesa County,West,Mall
28947,681 Horizon Dr,Grand Junction,CO,81506,39.0961654528895,-108.560200955769,Mesa County,West,Mall
22775,2424 US-650,Grand Junction,CO,81505,39.18549,-108.60155,Mesa County,West,Mall
27949,50 Hwy 91,Frisco,CO,80443,39.3848287897417,-106.190755917119,Summit County,West,Mall
26637,110 Meadow Ln,Glenwood Springs,CO,81601,39.47696235899,-107.287511074494,Garfield County,West,Mall
24430,225 S Main St,Breckenridge,CO,80424,39.4797819665605,-106.045969723127,Summit County,West,Mall
26147,710 N Summit Blvd Ste 101,Frisco,CO,80443,39.49865,-106.16679,Summit County,West,Mall
27700,910 Copper Rd Unit F-5 Unit F-5,Cope,CO,80443,39.501595687794,-106.157880981225,Summit County,West,Mall
23885,900 Airport Rd Ste 1,Rifle,CO,81650,39.5236228674084,-107.76331742724,Garfield County,West,Mall
20220,2001 Grand Ave,Glenwood Springs,CO,81601,39.5302945809134,-107.325062342045,Garfield County,West,Mall
24443,1008 N Summit Blvd,Frisco,CO,80443,39.5893419034023,-106.095406693706,Summit County,West,Mall
29389,324 US Hwy 6,Dillon,CO,80435,39.6297702295621,-106.049663123901,Summit County,West,Mall
22981,140 Ida Belle Dr # F-18,Keystone,CO,80435,39.9026992067311,-106.384600419597,Summit County,West,Mall
