Exchange Rate,GDP,Import,Export
0.89,-0.89,-0.83,-0.82
0.89,-0.88,-0.83,-0.82
0.89,-0.88,-0.84,-0.82
0.89,-0.88,-0.83,-0.82
0.89,-0.87,-0.83,-0.81
0.89,-0.87,-0.82,-0.81
0.89,-0.87,-0.82,-0.81
0.89,-0.86,-0.82,-0.8
0.89,-0.86,-0.81,-0.8
0.89,-0.85,-0.81,-0.8
0.89,-0.84,-0.81,-0.79
0.88,-0.83,-0.8,-0.79
0.84,-0.81,-0.8,-0.78
0.7,-0.79,-0.79,-0.75
0.7,-0.74,-0.75,-0.73
0.76,-0.72,-0.72,-0.7
0.82,-0.7,-0.72,-0.7
0.9,-0.69,-0.7,-0.69
0.87,-0.67,-0.69,-0.68
0.89,-0.64,-0.66,-0.65
0.88,-0.61,-0.63,-0.6
0.87,-0.55,-0.57,-0.58
0.99,-0.51,-0.54,-0.58
1.11,-0.55,-0.59,-0.6
1.14,-0.51,-0.58,-0.58
1.43,-0.54,-0.56,-0.57
1.5,-0.54,-0.54,-0.57
1.43,-0.52,-0.55,-0.55
1.28,-0.42,-0.48,-0.47
1.26,-0.29,-0.37,-0.39
1.28,-0.26,-0.34,-0.37
1.28,-0.23,-0.35,-0.32
1.36,-0.23,-0.34,-0.3
1.47,-0.26,-0.32,-0.3
1.37,-0.24,-0.28,-0.26
1.35,-0.14,-0.15,-0.19
1.28,-0.07,-0.1,-0.09
1.35,0,-0.06,-0.01
1.59,-0.08,-0.07,-0.06
1.55,-0.1,-0.07,-0.13
1.72,-0.04,0.01,-0.04
1.93,-0.12,-0.05,0
1.84,-0.09,-0.06,-0.02
1.54,0.07,0.1,0.05
1.36,0.38,0.33,0.21
1.31,0.55,0.56,0.42
1.33,0.66,0.72,0.64
1.2,0.89,0.95,0.88
1.19,1.32,1.47,1.28
1.28,1.05,1.2,1.29
1.09,1.51,1.46,1.43
0.97,2.04,1.92,2.15
0.97,2.36,2.41,2.48
1.04,2.43,2.4,2.3
1.11,2.19,2.2,2.24
1.33,1.95,1.97,1.86
1.35,1.64,1.67,1.48
1.3,1.9,1.8,1.97
1.34,2.12,2.12,2.28
